Buyer_Code,Buyer_Name,Address_Line1,Address_Line2,Address_Line3,City_State_Pin,GSTIN,Ship_To_Name,Ship_To_Address
B001,SHREE BALAJI ENTERPRISES,NEAR K-74 RANJANGAO PLOT NO-5,GUT NO-30 MIDC WALUJ,,AURANGABAD MAHARASHTRA-431136,27ADNPN5929R1ZG,SAME As TO,
B002,SHRI PADMAVATI ENTERPRISES,PLOT NO 5,,,AURANGABAD 431001,27AEDFS3949D1ZX,SAME As TO,
B003,DHARIWALA TRADING LLP,MANIAR BUILDING 116/118 P.D'MELLO ROAD,CARNAC BUNDER,MUMBAI-400029,MUMBAI-400029,27AAVFD1985E1Z0,ANNEUSER BUSCH INBEV INDIA LTD,"UNIT PALS L-5, MIDC AREA WALUJ, AURANGABAD-431136"
B004,AAROHI SALES,SHAMWADI 387/3/2,SHAMWADI,KOKAMTHAN,AHMEDNAGAR-423601,27ANXPL7496H1ZY,SAME As TO,
B005,RAHUL BOTTLE TRADING LLP,At post Pawar Panand Vadange,Tal karveer,Dist,KOLHAPUR-416002,27ABJFR7623J1ZQ,CARLSBERG INDIA PVT LTD,"H-17/1/1, MIDC WALUJ INDUSTRIAL AREA, SAMBHAJINAGAR, AURANGABAD-431136"
